spent,date,shown,link
Spent ₹0 – ₹250,From 14 Apr - 5 May 2024 (20 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17411178221138870273?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹1K – ₹1.5K,From 25 Apr - 8 May 2024 (12 days),Shown 4K – 5K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17391264966048219137?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 10 May 2024 (22 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17368446801236983809?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹250 – ₹500,From 23 Apr - 4 May 2024 (12 days),Shown 6K – 7K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17366767846981369857?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 24 Apr - 5 May 2024 (12 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17247915038065295361?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹70K – ₹80K,From 23 Apr - 29 May 2024 (37 days),Shown 700K – 800K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17238978207554732033?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 19 Apr - 18 May 2024 (25 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17230241488160423937?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 18 May 2024 (24 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17219828013533757441?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹1.5K – ₹2K,From 14 Apr - 30 May 2024 (35 days),Shown 10K – 15K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17199790513629167617?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 22 Apr - 18 May 2024 (22 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17143457035380064257?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹70K – ₹80K,From 13 Apr - 17 May 2024 (32 days),Shown 250K – 300K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17096102169083379713?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
